timestamp_s,exec_time_ms
11.3891,0.04
11.3997,0.04
11.4098,0.04
11.4201,0.04
11.4303,0.04
11.4406,0.04
11.4508,0.04
11.4612,0.04
11.4713,0.04
11.4815,0.04
11.4916,0.04
11.5019,0.04
11.5121,0.04
11.522,0.04
11.5325,0.04
11.5427,0.04
11.5529,0.04
11.5634,0.04
11.5735,0.04
11.5835,0.04
11.5938,0.04
11.604,0.04
11.6142,0.04
11.6245,0.04
11.6349,0.04
11.645,0.04
11.6553,0.04
11.6654,0.04
11.6758,0.04
11.6858,0.04
11.6959,0.04
11.7065,0.04
11.7166,0.04
11.7268,0.04
11.737,0.04
11.7474,0.04
11.7573,0.04
11.7675,0.04
11.778,0.04
11.788,0.04
11.7985,0.04
11.8085,0.04
11.8185,0.04
11.8288,0.04
11.8398,0.04
11.8494,0.04
11.8595,0.04
11.8696,0.04
11.8798,0.04
11.8902,0.04
11.9004,0.25
11.9104,0.04
11.9204,0.04
11.9307,0.04
11.9411,0.04
11.9519,0.26
11.9615,0.04
11.9716,0.04
11.9818,0.04
11.9921,0.04
12.0025,0.04
12.0128,0.04
12.023,0.04
12.0331,0.04
12.0434,0.04
12.0537,0.04
12.064,0.04
12.0741,0.04
12.0844,0.04
12.0948,0.04
12.105,0.04
12.1154,0.04
12.1257,0.04
12.136,0.04
12.1469,0.04
12.1566,0.04
12.1668,0.04
12.1778,0.04
12.1875,0.04
12.1977,0.04
12.208,0.04
12.2184,0.04
12.2286,0.04
12.2388,0.04
12.2494,0.3
12.2595,0.04
12.2698,0.04
12.2809,0.26
12.2905,0.04
12.3011,0.04
12.3114,0.04
12.3216,0.04
12.3317,0.04
12.342,0.04
12.3524,0.3
12.3628,0.04
12.3728,0.04
12.383,0.04
12.3937,0.04
12.4038,0.04
12.4148,0.04
12.4245,0.04
12.4347,0.04
12.445,0.04
12.4555,0.03
12.4655,0.04
12.4757,0.04
12.486,0.04
12.4965,0.03
12.5065,0.04
12.5168,0.04
12.5268,0.04
12.537,0.04
12.5474,0.3
12.5575,0.04
12.5677,0.04
12.5779,0.04
12.588,0.04
12.5984,0.04
12.6085,0.04
12.6189,0.04
12.629,0.04
12.64,0.29
12.6497,0.04
12.66,0.04
12.6704,0.04
12.6805,0.04
12.6908,0.04
12.7015,0.3
12.7117,0.04
12.7219,0.04
12.7324,0.26
12.7424,0.04
12.7525,0.04
12.7629,0.04
12.7731,0.04
12.7834,0.26
12.7934,0.04
12.8038,0.04
12.8141,0.04
12.8245,0.27
12.8344,0.04
12.8445,0.04
12.8548,0.04
12.865,0.04
12.875,0.04
12.8855,0.04
12.8956,0.04
12.9058,0.04
12.9158,0.04
12.9265,0.03
12.9365,0.04
12.9467,0.04
